36, src: h11, dst: h144, sport: 37, dport: 37, flowsize: 20, starttime: 1000, finishtime: 14313, fct: 13313, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

64, src: h47, dst: h144, sport: 65, dport: 65, flowsize: 20, starttime: 1000, finishtime: 14314, fct: 13314, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

35, src: h10, dst: h144, sport: 36, dport: 36, flowsize: 20, starttime: 1000, finishtime: 14317, fct: 13317, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

126, src: h127, dst: h144, sport: 127, dport: 127, flowsize: 20, starttime: 1000, finishtime: 14319, fct: 13319, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

106, src: h105, dst: h144, sport: 107, dport: 107, flowsize: 20, starttime: 1000, finishtime: 14324, fct: 13324, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

121, src: h122, dst: h144, sport: 122, dport: 122, flowsize: 20, starttime: 1000, finishtime: 14348, fct: 13348, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

125, src: h126, dst: h144, sport: 126, dport: 126, flowsize: 20, starttime: 1000, finishtime: 14353, fct: 13353, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

3, src: h49, dst: h130, sport: 4, dport: 4, flowsize: 5000, starttime: 0, finishtime: 14923, fct: 14923, recvtput: 25.51 Gbps, sendtput: 33.62 Gbps

80, src: h33, dst: h138, sport: 82, dport: 82, flowsize: 5000, starttime: 1000, finishtime: 15192, fct: 14192, recvtput: 27.23 Gbps, sendtput: 35.33 Gbps

1, src: h17, dst: h129, sport: 2, dport: 2, flowsize: 5000, starttime: 0, finishtime: 16412, fct: 16412, recvtput: 22.47 Gbps, sendtput: 30.55 Gbps

4, src: h65, dst: h130, sport: 5, dport: 5, flowsize: 5000, starttime: 0, finishtime: 16871, fct: 16871, recvtput: 21.64 Gbps, sendtput: 29.72 Gbps

2, src: h33, dst: h129, sport: 3, dport: 3, flowsize: 5000, starttime: 0, finishtime: 17012, fct: 17012, recvtput: 21.39 Gbps, sendtput: 29.43 Gbps

7, src: h113, dst: h135, sport: 8, dport: 8, flowsize: 5000, starttime: 0, finishtime: 19396, fct: 19396, recvtput: 17.78 Gbps, sendtput: 25.84 Gbps

11, src: h50, dst: h144, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 20810, fct: 20810, recvtput: 16.03 Gbps, sendtput: 24.06 Gbps

10, src: h34, dst: h144, sport: 11, dport: 11, flowsize: 5000, starttime: 0, finishtime: 21532, fct: 21532, recvtput: 15.22 Gbps, sendtput: 23.27 Gbps

9, src: h18, dst: h144, sport: 10, dport: 10, flowsize: 5000, starttime: 0, finishtime: 23078, fct: 23078, recvtput: 13.67 Gbps, sendtput: 21.69 Gbps

